"龙山县",114778,121223,128750,139461,144691,149132,167500,185459,229831,284280,324821,377382,437230,493358,551216,615634
"阳新县",225833.931575895,421000,471800,509100,552300,548400,621500,687500,757100,964700,971500,1107100,1287000,1509700,1690200,1841000
"大冶市",470000,612400,668300,73600,818000,861900,1001800,1161900,1398000,1697300,1706000,2510800,3318400,4102400,4559200,5001200
"郧县",361877.498459879,141200,153100,163100,175600,161700,182300,203600,250100,310500,364500,439300,539700,635100,736200,828200
"郧西县",316699.860960031,83500,93200,110400,124800,141500,154800,171700,193500,238900,265100,332800,404300,460000,531900,590400
"竹山县",524010.348311554,82100,88700,94600,102600,128100,145100,162100,197300,262700,304100,360000,496600,581300,671300,741900
"竹溪县",358751.8766789,65600,69400,75600,87200,114900,132300,152100,176600,244900,255700,349500,427200,487600,561800,620200
"房县",402042.655837623,102300,108600,116400,122900,131800,135800,163000,193200,244900,291300,357200,437700,527500,606800,660800
"丹江口市",401200,382200,389000,351000,374300,387900,421600,480100,545000,676300,757100,921400,1083800,1300200,1507200,1658100
"夷陵区",208746.288416872,142333.05799921,812900,899100,915000,526800,633700,746600,880400,1112300,1404400,1822000,2641900,3350900,3898400,4412400
"远安县",487032.408720642,136800,149200,108300,120800,186500,211600,244900,296800,407000,530500,728000,1011300,1301000,1520900,1720200
"兴山县",156480.031695298,108400,119400,127900,145100,162400,185400,197500,234700,314800,385500,441000,562600,674100,780800,864700
"秭归县",256388.440288422,166100,182000,197500,215300,205200,227100,254300,296400,369700,439600,529000,666900,787700,912400,1005300
"长阳土家族自治县",352937.421071534,237600,243700,261900,284500,274900,312100,335000,396500,401800,474500,561800,753000,882600,1005100,1098800
"五峰土家族自治县",354308.82254604,93200,99300,100300,108900,133300,136000,148800,168200,210700,249200,284200,366200,442700,505900,552800
"宜都市",290355.817769126,300300,320800,355400,410100,460700,544700,696200,843800,1094300,1455000,1841500,2738200,3447400,4028200,4549300
"当阳市",564600,618900,685400,691200,733000,523100,577400,663600,815100,1060600,1330500,1650500,2406300,3022300,3521700,3954800
"枝江市",351700,376000,409100,442700,508600,490700,597600,710900,852500,1093400,1285800,1605700,2327200,2927700,3419500,3896300
"襄州区",492465.317232888,26139,747600,810200,883100,910100,1010100,1101800,1263800,1512900,1758800,2303900,3182500,3946000,4560500,5015300
