指标,地区,频度,单位,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
国内生产总值,远安县,年,亿元,,13.68,14.92,10.83,12.08,18.65,21.16,24.49,29.68,40.7,53.05,72.8,101.13,130.1,152.09,172.02
国内生产总值,兴山县,年,亿元,,10.84,11.94,12.79,14.51,16.24,18.54,19.75,23.47,31.48,38.55,44.1,56.26,67.41,78.08,86.47
国内生产总值,秭归县,年,亿元,,16.61,18.2,19.75,21.53,20.52,22.71,25.43,29.64,36.97,43.96,52.9,66.69,78.77,91.24,100.53
国内生产总值,长阳土家族自治县,年,亿元,,23.76,24.37,26.19,28.45,27.49,31.21,33.5,39.65,40.18,47.45,56.18,75.3,88.26,100.51,109.88
国内生产总值,五峰土家族自治县,年,亿元,,9.32,9.93,10.03,10.89,13.33,13.6,14.88,16.82,21.07,24.92,28.42,36.62,44.27,50.59,55.28
国内生产总值,宜都市,年,亿元,,30.03,32.08,35.54,41.01,46.07,54.47,69.62,84.38,109.43,145.5,184.15,273.82,344.74,402.82,454.93
国内生产总值,当阳市,年,亿元,56.46,61.89,68.54,69.12,73.3,52.31,57.74,66.36,81.51,106.06,133.05,165.05,240.63,302.23,352.17,395.48
国内生产总值,枝江市,年,亿元,35.17,37.6,40.91,44.27,50.86,49.07,59.76,71.09,85.25,109.34,128.58,160.57,232.72,292.77,341.95,389.63
国内生产总值,襄州区,年,亿元,,,74.76,81.02,88.31,91.01,101.01,110.18,126.38,151.29,175.88,230.39,318.25,394.6,456.05,501.53
国内生产总值,南漳县,年,亿元,,20.02,21.12,23.32,25.34,25.57,28.1,31.93,39.73,50.18,62.06,90.08,124.7,151.11,171.23,192.86
国内生产总值,谷城县,年,亿元,,20.4,21.66,23.43,26.1,31.01,33.72,39.72,48.12,60.42,85.41,112.9,163.49,204.71,238.75,265.58
国内生产总值,保康县,年,亿元,,11.05,12.03,13.27,13.9,13.65,14.68,16.15,18.82,23.94,29.66,43.02,56.02,70.08,81.55,92.15
国内生产总值,老河口市,年,亿元,53.04,57.2,47.34,50.05,53.51,35.55,38.29,42.2,49.83,63.03,84.98,110.99,165.57,208.19,240.18,268.46
国内生产总值,枣阳市,年,亿元,81.61,89.32,71.64,72.43,78.45,66.04,72,80.03,97.48,122.81,153.94,210.12,301.81,370.92,425.43,479.57
国内生产总值,宜城市,年,亿元,27.38,26.44,28.45,31.32,33.93,34.21,37.59,42.28,50.89,64.43,85,111.33,165.1,201.94,232.46,259.9
国内生产总值,京山县,年,亿元,,40.49,44,47.7,53.03,50.76,56.61,64.18,81.69,105.09,129.3,155.25,206.23,240.12,268.99,291.03
国内生产总值,沙洋县,年,亿元,,34.02,36.72,39.12,42.4,41.53,46.12,52.31,70.99,88.29,96.02,114.79,153.12,178.74,198.21,213.96
国内生产总值,钟祥市,年,亿元,70.16,69.55,75.02,77.69,84.84,71.51,79.83,92.47,113.08,140.93,163.01,198.96,255.54,297.49,332.37,361.83
国内生产总值,孝昌县,年,亿元,,22.65,23.28,25.39,27.82,22.51,24.81,27.18,33.67,42.41,49.16,61.04,73.08,82.55,92.65,97.31
